#{"t_start": 1747053152.6913037, "env_id": "None"}
r,l,t
-7285.62,81,9.214683
-6179.216667,81,17.193885
-7514.546667,81,24.192121
-4479.143333,81,31.458219
-5537.106667,81,39.043575
-6008.353333,81,46.467326
-7620.836667,81,53.916732
-7642.493333,81,61.420505
-5006.3,81,68.811162
-4871.28,81,76.01812
-4430.72,81,83.510915
-8745.803333,81,91.010351
-7362.6,81,98.847166
-3660.19,81,106.117406
-7735.556667,81,113.503849
-6159.81,81,121.074764
-5256.166667,81,128.594516
-6965.913333,81,136.072795
-5456.243333,81,144.020857
-7666.106667,81,151.423185
-7657.186667,81,158.783786
-6933.693333,81,166.036321
-7461.403333,81,173.597668
-7536.45,81,180.041855
-5116.673333,81,187.819375
-6951.4,81,197.163459
-5611.286667,81,204.838079
-6828.893333,81,212.286162
-6508.05,81,220.247099
-5046.903333,81,228.421578
-4683.913333,81,236.845571
-5836.81,81,244.171582
-5024.536667,81,251.602875
-5050.066667,81,259.335448
-6306.48,81,267.438585
-6070.34,81,275.118125
-4778.57,81,283.099437
-6164.546667,81,291.61289
-7595.806667,81,299.397169
-5540.05,81,307.908152
-7324.566667,81,315.994791
-6800.286667,81,324.314385
-5357.28,81,332.061527
-4322.366667,81,340.2525
-7926.313333,81,348.896417
-6480.38,81,356.507975
-6484.75,81,364.916701
-4495.843333,81,373.280992
-5331.163333,81,381.098222
-6860.72,81,388.902704
-3304.413333,81,398.149055
-7097.156667,81,405.944491
-5121.06,81,411.967658
-5345.183333,81,418.42056
-5976.736667,81,425.54663
-5895.8,81,432.747462
-5221.363333,81,440.059996
-5283.976667,81,446.849043
-7786.456667,81,454.161412
-5259.773333,81,461.136568
-6836.23,81,468.548133
-7166.01,81,476.053476
-5394.736667,81,483.978875
-4404.676667,81,490.960562
-5191.626667,81,498.28619
-5098.73,81,505.534689
-6772.526667,81,511.717288
-4589.123333,81,518.263291
-5055.23,81,525.527062
-6231.69,81,532.731314
-5213.203333,81,538.866789
-3657.066667,81,544.578656
-5187.733333,81,550.669492
-4863.336667,81,557.411365
-5252.163333,81,563.900645
-6958.863333,81,572.39353
-7482.64,81,578.995553
-5230.55,81,586.184325
-4723.063333,81,593.890877
-6081.55,81,602.786437
-7351.82,81,610.888133
-7126.48,81,619.130239
-5405.44,81,627.510991
-8765.87,81,635.777979
-6510.61,81,643.646779
-5603.733333,81,651.889278
-5886.9,81,659.84994
-5572.723333,81,668.06746
-6677.443333,81,676.03206
-8218.356667,81,683.750165
-7156.573333,81,691.663
-5816.136667,81,699.797624
-6810.513333,81,707.703235
-2987.866667,81,715.636303
-5844.633333,81,723.709359
-7662.61,81,732.285269
-5262.99,81,739.989894
-5691.41,81,748.310791
-5594.58,81,756.399651
-6579.333333,81,764.260971
-8740.3,81,772.086639
-3505.736667,81,783.729566
-5174.77,81,791.425426
-7276.68,81,799.665277
-7260.093333,81,807.910428
-5364.973333,81,815.81742
-5606.65,81,823.628873
-6915.333333,81,832.059744
-2875.843333,81,839.801686
-5096.596667,81,847.637777
-4181.246667,81,855.4101
-6624.153333,81,863.834042
-7318.683333,81,872.074882
-5158.026667,81,880.645825
-4727.323333,81,888.405773
-6340.413333,81,896.744777
-5824.553333,81,905.364138
-6728.963333,81,912.627086
-5254.62,81,918.681849
-6738.743333,81,925.354052
-6949.493333,81,932.592974
-4640.383333,81,938.746249
-4899.243333,81,945.668412
-8924.63,81,952.888162
-8283.173333,81,959.888001
-6049.486667,81,966.675392
