#{"t_start": 1747056751.566139, "env_id": "None"}
r,l,t
-4012.28,81,9.597996
-3558.9,81,17.315178
-3471.62,81,24.496467
-5451.846667,81,32.496478
-4140.613333,81,39.770682
-4219.366667,81,47.669638
-5686.056667,81,55.094234
-4792.903333,81,62.999484
-2164.223333,81,70.258227
-4082.546667,81,77.718752
-3141.933333,81,84.14265
-4956.026667,81,91.281774
-3642.76,81,98.610714
-2437.986667,81,105.518624
-3520.616667,81,112.285611
-2931.11,81,119.866302
-4406.153333,81,127.214449
-3465.423333,81,134.971601
-4135.426667,81,142.658449
-2825.546667,81,150.301368
-3710.98,81,158.285966
-3890.57,81,166.166506
-3959.803333,81,173.962407
-2953.22,81,181.810351
-4711.08,81,189.757543
-3910.466667,81,201.3628
-2877.99,81,209.639374
-2244.076667,81,217.241553
-3386.83,81,225.1052
-3409.42,81,233.352225
-2687.123333,81,241.61746
-1865.64,81,249.035521
-3438.07,81,256.835796
-4289.443333,81,263.932715
-4472.3,81,271.842574
-4240.516667,81,279.960014
-5543.92,81,288.097517
-4538.436667,81,296.132594
-3380.326667,81,304.11018
-2232.39,81,312.051779
-3382.913333,81,320.022731
-3234.163333,81,327.540722
-2599.62,81,335.420696
-2940.006667,81,343.701575
-2671.633333,81,351.70615
-4746.293333,81,359.42353
-3493.346667,81,367.816459
-5667.96,81,376.562711
-3088.286667,81,384.180096
-3080.9,81,392.134665
-3930.386667,81,402.736993
-4958.563333,81,410.603988
-5683.09,81,418.680382
-3550.566667,81,426.519704
-3881.39,81,434.608538
-3365.686667,81,442.452319
-5441.02,81,450.543687
-3982.413333,81,458.409162
-3942.946667,81,466.260807
-2951.956667,81,473.728451
-2970.31,81,480.900767
-3687.583333,81,488.413328
-2945.32,81,496.374081
-3751.33,81,504.226616
-2498.386667,81,512.116733
-3023.453333,81,520.186511
-4444.506667,81,528.318563
-3268.176667,81,535.801878
-3549.356667,81,543.925099
-3047.133333,81,551.528096
-4867.496667,81,559.100492
-2657.116667,81,567.007887
-3090.17,81,574.961329
-2537.793333,81,582.916281
-3525.486667,81,590.466602
-3781.336667,81,599.044564
-3711.81,81,607.144685
-3571.006667,81,615.18489
-2899.5,81,623.19414
-3667.973333,81,631.043431
-2362.08,81,638.862345
-3220.326667,81,646.876232
-3802.423333,81,654.689973
-2157.643333,81,662.586528
-2939.17,81,670.207428
-3067.316667,81,678.318846
-3102.84,81,686.22215
-3515.536667,81,694.342233
-3703.23,81,702.148782
-2469.28,81,709.50544
-4371.22,81,717.520274
-5527.26,81,725.656603
-3465.013333,81,733.313332
-3434.863333,81,740.152722
-4468.51,81,748.025431
-3929.0,81,756.104381
-1318.176667,81,764.109776
-3945.063333,81,772.059993
-4775.063333,81,779.662231
-3612.25,81,787.602112
-3298.573333,81,795.498845
-3119.7,81,804.991313
-2646.88,81,813.4637
-3580.406667,81,821.358963
-3401.24,81,828.958203
-3841.76,81,836.849518
-2911.54,81,844.795156
-4245.696667,81,852.130193
-2677.65,81,858.325021
-3531.946667,81,865.67936
-3067.83,81,873.353069
-3725.066667,81,881.456349
-2805.776667,81,889.123312
-4265.723333,81,896.812057
-5123.103333,81,904.889256
-4754.36,81,912.905161
-3408.706667,81,920.886689
-4582.003333,81,928.8571
-3391.24,81,936.84784
-3007.03,81,944.656502
-2798.843333,81,952.867112
-3759.143333,81,960.778213
-3516.703333,81,968.455871
-4988.143333,81,976.028617
-3454.513333,81,983.280306
-3061.21,81,990.32529
