#{"t_start": 1747054608.8869512, "env_id": "None"}
r,l,t
-5316.556667,81,9.829366
-5638.226667,81,15.715413
-5717.76,81,22.959484
-2948.943333,81,29.74769
-4314.63,81,36.983794
-5378.61,81,43.399462
-7536.663333,81,50.462127
-5928.69,81,57.520979
-3466.463333,81,64.610938
-6189.786667,81,70.50845
-6200.783333,81,78.502393
-4832.38,81,84.174761
-5722.646667,81,91.029373
-6029.59,81,97.508795
-5460.446667,81,104.887241
-5679.74,81,111.185205
-5259.98,81,119.073209
-4736.8,81,126.212142
-6760.68,81,133.428806
-6119.653333,81,140.611354
-4312.233333,81,146.955395
-5159.003333,81,153.71113
-6096.94,81,160.415023
-5537.96,81,167.517575
-6392.73,81,175.362217
-6062.053333,81,186.832605
-6336.466667,81,195.179575
-4138.713333,81,202.4956
-3586.796667,81,208.660517
-5027.876667,81,214.87449
-5249.203333,81,220.712262
-6035.766667,81,227.874001
-5807.436667,81,234.332604
-5776.093333,81,241.005693
-4498.78,81,247.482798
-4703.243333,81,254.163213
-5564.533333,81,260.803706
-5892.75,81,268.106629
-6532.11,81,275.720522
-4929.993333,81,282.291221
-6118.5,81,289.971718
-4807.63,81,296.896769
-5232.636667,81,304.181026
-6139.62,81,310.976912
-6301.346667,81,317.943496
-5558.046667,81,325.089374
-7745.756667,81,332.485638
-5596.93,81,338.707272
-4732.09,81,345.166143
-4978.276667,81,351.484542
-5447.763333,81,361.499735
-6292.703333,81,367.438025
-6472.08,81,374.243355
-3944.703333,81,381.16722
-4106.376667,81,387.305733
-3816.976667,81,394.432057
-4343.086667,81,401.077405
-5577.913333,81,408.367478
-4272.34,81,414.4713
-4243.78,81,421.627881
-4765.006667,81,429.805518
-4714.403333,81,437.928335
-3826.106667,81,446.094241
-3718.85,81,454.338764
-5089.25,81,461.743126
-4722.956667,81,469.401127
-5493.763333,81,477.216249
-4413.92,81,485.189123
-4873.14,81,492.309772
-3917.693333,81,497.915642
-6768.223333,81,505.490198
-4691.34,81,513.474262
-5384.246667,81,521.060429
-5501.513333,81,527.98278
-6156.883333,81,536.227063
-6516.22,81,544.774991
-3890.976667,81,552.007158
-6338.833333,81,559.905282
-5311.956667,81,567.94245
-5765.11,81,575.76818
-4368.813333,81,583.226105
-5267.04,81,591.123557
-5035.47,81,598.986026
-3081.416667,81,606.723628
-2718.76,81,613.4575
-4710.92,81,620.528996
-3882.41,81,627.937105
-5634.973333,81,635.724183
-7177.766667,81,642.901088
-6562.716667,81,649.369183
-5890.233333,81,657.15911
-5699.58,81,665.38615
-4191.053333,81,672.961243
-3901.013333,81,680.926008
-6887.616667,81,688.281962
-3490.153333,81,696.070316
-6574.45,81,704.165146
-4760.69,81,711.875007
-5134.213333,81,719.927567
-3575.526667,81,727.598997
-6066.503333,81,735.704582
-5877.26,81,744.018045
-6346.043333,81,751.595683
-5249.703333,81,758.747753
-3282.913333,81,764.83414
-6950.83,81,772.10579
-6260.906667,81,779.71091
-5654.75,81,787.763135
-5493.676667,81,795.747099
-3306.96,81,803.073584
-5086.603333,81,810.548275
-6049.603333,81,818.091765
-5986.276667,81,825.766865
-5118.403333,81,833.452249
-3283.74,81,841.101781
-3717.59,81,848.735403
-4270.23,81,856.344881
-4418.176667,81,863.687189
-5709.936667,81,871.301759
-4734.27,81,879.217735
-5400.29,81,887.203884
-6345.376667,81,894.629737
-3065.353333,81,902.157747
-4903.976667,81,909.902488
-4860.426667,81,917.448841
-5645.963333,81,924.900409
