#{"t_start": 1747052152.1436608, "env_id": "None"}
r,l,t
-7978.533333,81,10.209208
-5475.926667,81,17.398361
-6841.51,81,24.560463
-4751.983333,81,31.742293
-7345.18,81,39.011861
-7233.863333,81,46.280104
-6481.886667,81,53.419688
-8578.513333,81,60.874746
-8546.186667,81,68.15831
-7588.046667,81,75.584573
-5264.416667,81,82.689492
-4205.07,81,89.48343
-5286.5,81,96.704775
-6576.883333,81,103.945343
-9011.83,81,110.706937
-5746.666667,81,117.977544
-7478.49,81,125.6437
-5773.373333,81,133.725174
-4327.526667,81,141.145631
-5214.253333,81,148.412714
-6220.893333,81,155.913797
-8629.826667,81,163.357378
-4948.103333,81,171.437041
-9042.243333,81,178.514355
-5520.656667,81,186.638853
-5929.703333,81,196.186869
-7357.816667,81,203.455505
-8847.703333,81,210.363736
-5607.493333,81,218.111045
-5881.756667,81,227.083552
-6341.73,81,234.573752
-6374.613333,81,242.617455
-9721.946667,81,249.922673
-5449.843333,81,257.15988
-7931.45,81,264.525327
-5607.8,81,271.758842
-5752.43,81,279.157386
-7521.913333,81,286.459298
-6975.843333,81,294.600995
-6524.556667,81,300.680111
-7172.836667,81,307.825282
-6057.043333,81,315.275054
-8735.41,81,322.860599
-6859.783333,81,329.512965
-4686.06,81,335.727244
-7297.943333,81,342.749398
-5759.183333,81,349.931671
-4681.723333,81,356.935263
-5797.456667,81,364.140838
-5004.493333,81,371.493034
